cell_label,brain_section_label,x,y,z,supertype,cluster,glut_cluster,x_lat,dl_score,dl_group
1017165415101430447,C57BL6J-638850.57,5.963064010263257,6.914293757160999,11.0,0047 IT AON-TT-DP Glut_2,0171 IT AON-TT-DP Glut_2,Glut_2,0.3212454945058285,-1.5128542870818895,ventromedial
1017163940100600683,C57BL6J-638850.58,5.059070987669586,6.7290018760659445,11.2,0047 IT AON-TT-DP Glut_2,0171 IT AON-TT-DP Glut_2,Glut_2,0.056871397533789114,-1.5667994574295303,ventromedial
1018143423101320657,C57BL6J-638850.56,4.875291042817175,6.655298749007725,10.8,0047 IT AON-TT-DP Glut_2,0171 IT AON-TT-DP Glut_2,Glut_2,0.43006323924208445,-0.9557356463434907,ventromedial
1017163940100870296,C57BL6J-638850.58,6.009937177016448,6.724988032944208,11.2,0047 IT AON-TT-DP Glut_2,0171 IT AON-TT-DP Glut_2,Glut_2,0.8939947918130722,-0.45347142383206474,ventromedial
1104095349101130512-3,C57BL6J-638850.59,6.362882511053296,6.3610498724716,11.4,0047 IT AON-TT-DP Glut_2,0171 IT AON-TT-DP Glut_2,Glut_2,1.4488418254196462,0.8608674230940558,ventromedial
1018135614101660126,C57BL6J-638850.55,5.032886339090419,7.0377544411011,10.4,0047 IT AON-TT-DP Glut_2,0171 IT AON-TT-DP Glut_2,Glut_2,0.32720396006018326,-1.701958375449871,ventromedial
1018143557101170160,C57BL6J-638850.60,4.8259361364112685,5.933939021314877,11.8,0050 IT AON-TT-DP Glut_5,0182 IT AON-TT-DP Glut_5,Glut_5,1.2137642012368932,1.231485764436431,dorsolateral
1017165415101440531,C57BL6J-638850.57,6.084980173066424,6.468712788101584,11.0,0047 IT AON-TT-DP Glut_2,0171 IT AON-TT-DP Glut_2,Glut_2,0.4431616573089956,-0.6407156371627827,ventromedial
1017165415101440681,C57BL6J-638850.57,6.137516256839247,6.61286004103536,11.0,0047 IT AON-TT-DP Glut_2,0171 IT AON-TT-DP Glut_2,Glut_2,0.49569774108181885,-0.8012360416740252,ventromedial
1018143423101810157,C57BL6J-638850.56,6.143636239607254,6.821089675608001,10.8,0047 IT AON-TT-DP Glut_2,0171 IT AON-TT-DP Glut_2,Glut_2,0.8382819575479941,-0.6804714865587161,ventromedial
1017165415101580274,C57BL6J-638850.57,6.297547472686119,6.622911418126305,11.0,0047 IT AON-TT-DP Glut_2,0171 IT AON-TT-DP Glut_2,Glut_2,0.6557289569286908,-0.6056646864513585,ventromedial
1018143423101320739,C57BL6J-638850.56,4.974165672824668,6.606751730516693,10.8,0047 IT AON-TT-DP Glut_2,0171 IT AON-TT-DP Glut_2,Glut_2,0.3311886092345917,-1.0090197297944448,ventromedial
1017184920101240838,C57BL6J-638850.61,4.37900204185341,5.807621110912741,12.0,0047 IT AON-TT-DP Glut_2,0171 IT AON-TT-DP Glut_2,Glut_2,1.9376159768103536,2.3901728682039294,ventromedial
1017163940100600411,C57BL6J-638850.58,4.797280197398234,6.611105980284335,11.2,0047 IT AON-TT-DP Glut_2,0171 IT AON-TT-DP Glut_2,Glut_2,0.318662187805141,-1.0325306069707292,ventromedial
1017163940100750049,C57BL6J-638850.58,4.985229496189815,6.29436854651992,11.2,0047 IT AON-TT-DP Glut_2,0171 IT AON-TT-DP Glut_2,Glut_2,0.13071288901356048,-0.7756967791439214,ventromedial
1017163940100870564,C57BL6J-638850.58,6.164498068672152,6.5762430051073855,11.2,0047 IT AON-TT-DP Glut_2,0171 IT AON-TT-DP Glut_2,Glut_2,1.048555683468777,-0.011771965613035867,ventromedial
1017165415101280097,C57BL6J-638850.57,5.039802018701239,7.130977279068894,11.0,0047 IT AON-TT-DP Glut_2,0172 IT AON-TT-DP Glut_2,Glut_2,0.6020164970561899,-1.4873132966769884,ventromedial
1017165415101570137,C57BL6J-638850.57,6.1384861447070325,6.996969298844702,11.0,0047 IT AON-TT-DP Glut_2,0171 IT AON-TT-DP Glut_2,Glut_2,0.4966676289496039,-1.412804287435392,ventromedial
1017163940100750056,C57BL6J-638850.58,4.979383811635605,6.267646071548175,11.2,0047 IT AON-TT-DP Glut_2,0172 IT AON-TT-DP Glut_2,Glut_2,0.13655857356777013,-0.7253310458213922,ventromedial
1104095349101120342-1,C57BL6J-638850.59,6.254135447701842,6.294357263807703,11.4,0047 IT AON-TT-DP Glut_2,0171 IT AON-TT-DP Glut_2,Glut_2,1.3400947620681922,0.8234805695934315,ventromedial
1017163940100600265,C57BL6J-638850.58,4.796573657875248,6.807401141595154,11.2,0047 IT AON-TT-DP Glut_2,0171 IT AON-TT-DP Glut_2,Glut_2,0.3193687273281274,-1.3447875332172958,ventromedial
1018143423101650599,C57BL6J-638850.56,6.164807753269572,6.572897198298655,10.8,0047 IT AON-TT-DP Glut_2,0171 IT AON-TT-DP Glut_2,Glut_2,0.8594534712103119,-0.25648256210652187,ventromedial
1017165415101150599,C57BL6J-638850.57,4.957899018391499,6.839264123316831,11.0,0047 IT AON-TT-DP Glut_2,0171 IT AON-TT-DP Glut_2,Glut_2,0.6839194973659293,-0.9135817027011647,ventromedial
1017165415101150135,C57BL6J-638850.57,4.729160736407515,6.518535724200165,11.0,0047 IT AON-TT-DP Glut_2,0171 IT AON-TT-DP Glut_2,Glut_2,0.9126577793499138,-0.09939642776538136,ventromedial
1017165415101580299,C57BL6J-638850.57,6.306656539951822,6.632002928587338,11.0,0047 IT AON-TT-DP Glut_2,0171 IT AON-TT-DP Glut_2,Glut_2,0.6648380241943936,-0.6081254234314125,ventromedial
1018143423101800233,C57BL6J-638850.56,6.108208120921094,7.0669671647579095,10.8,0047 IT AON-TT-DP Glut_2,0171 IT AON-TT-DP Glut_2,Glut_2,0.802853838861834,-1.1196182553813763,ventromedial
1104095349101090102-1,C57BL6J-638850.59,4.7941471984142,6.140410808971733,11.4,0047 IT AON-TT-DP Glut_2,0171 IT AON-TT-DP Glut_2,Glut_2,0.11989348721944904,-0.5443618828449166,ventromedial
1017163940100870278,C57BL6J-638850.58,6.006005812395669,6.750251682519204,11.2,0047 IT AON-TT-DP Glut_2,0171 IT AON-TT-DP Glut_2,Glut_2,0.8900634271922936,-0.49897828924335325,ventromedial
1017163940100750069,C57BL6J-638850.58,4.9060444932955445,6.096081601785548,11.2,0047 IT AON-TT-DP Glut_2,0171 IT AON-TT-DP Glut_2,Glut_2,0.20989789190783092,-0.35462176949845214,ventromedial
1018135614101490427,C57BL6J-638850.55,5.058445452847399,6.574267525249742,10.4,0047 IT AON-TT-DP Glut_2,0171 IT AON-TT-DP Glut_2,Glut_2,0.3016448463032031,-0.9962563716945527,ventromedial
1018143423101310598,C57BL6J-638850.56,4.8383805285750325,6.837152037027898,10.8,0047 IT AON-TT-DP Glut_2,0171 IT AON-TT-DP Glut_2,Glut_2,0.4669737534842273,-1.1970780711603775,ventromedial
1017163940100600734,C57BL6J-638850.58,5.008648225377085,6.537683029290587,11.2,0047 IT AON-TT-DP Glut_2,0171 IT AON-TT-DP Glut_2,Glut_2,0.10729415982629043,-1.1948742887742727,ventromedial
1017163940100610444,C57BL6J-638850.58,4.598171976452128,6.100033184178549,11.2,0049 IT AON-TT-DP Glut_4,0179 IT AON-TT-DP Glut_4,Glut_4,0.5177704087512476,0.046171659789488784,ventromedial
1018143423101800078,C57BL6J-638850.56,6.046317668334697,6.890422248799602,10.8,0047 IT AON-TT-DP Glut_2,0171 IT AON-TT-DP Glut_2,Glut_2,0.7409633862754372,-0.9197762413017885,ventromedial
1017165415101430486,C57BL6J-638850.57,5.993622314263893,6.890551037167784,11.0,0047 IT AON-TT-DP Glut_2,0171 IT AON-TT-DP Glut_2,Glut_2,0.3518037985064648,-1.4345654190974384,ventromedial
1017165415101150303,C57BL6J-638850.57,4.799828394306605,6.630012252011722,11.0,0047 IT AON-TT-DP Glut_2,0171 IT AON-TT-DP Glut_2,Glut_2,0.8419901214508236,-0.3707019813115137,ventromedial
1017163940100600731,C57BL6J-638850.58,5.035999003626809,6.598235531017292,11.2,0047 IT AON-TT-DP Glut_2,0171 IT AON-TT-DP Glut_2,Glut_2,0.079943381576566,-1.3276522908405841,ventromedial
