n_genes_by_counts,total_counts,pct_counts_mt,pct_counts_ribo,doublet_score
2529,5937.0,0.016843524,0.18527876,0.007606841547185468
4020,14606.0,0.17116253,0.18485554,0.013448657771214598
2786,7066.0,0.0,0.18397962,0.024476209124730763
3400,12072.0,0.008283632,0.22365806,0.02551834130781499
2956,8257.0,0.012110936,0.14533123,0.03955174686882005
1992,4212.0,0.09496676,0.2611586,0.14172290591504566
3457,10802.0,0.03703018,0.19440845,0.03449333128928407
2542,5154.0,0.44625533,0.3492433,0.09886159376872378
2782,6467.0,0.061852477,0.2319468,0.087378640776699
2543,6812.0,0.014679977,0.08807986,0.029282783986419578
4795,19880.0,0.0,0.14587526,0.0673965104344851
2864,6149.0,0.06505123,0.2764677,0.09204545454545454
3732,10069.0,0.15890357,0.31780714,0.14172290591504566
4278,13482.0,0.0074172975,0.17801513,0.015062213490504257
3591,10381.0,0.09632983,0.22155862,0.06535582616467434
2764,6513.0,0.015353908,0.27637035,0.015062213490504257
3555,8579.0,0.24478377,0.10490733,0.0673965104344851
3783,13698.0,0.0,0.15330705,0.06151368760064413
2906,6986.0,0.0,0.38648725,0.022183230981325984
3270,10153.0,0.11819167,0.29547918,0.05466494075475456
1010,1520.0,0.19736841,0.2631579,0.027720314439387668
2563,6202.0,0.032247663,0.3063528,0.0055084375273235986
2383,6221.0,0.0,0.16074586,0.04122060187136475
3448,11617.0,0.008608074,0.2065938,0.087378640776699
3014,8483.0,0.011788283,0.2121891,0.011939993876926219
4107,13328.0,0.022509003,0.105042025,0.15906611389919265
3470,11774.0,0.21233226,0.22931884,0.011939993876926219
2537,6243.0,0.0800897,0.19221528,0.06535582616467434
2577,6166.0,0.0,0.3243594,0.01112113014727983
3058,8494.0,0.011773016,0.24723333,0.007777777777777777
1757,3746.0,0.026695142,0.37373197,0.029686053961700008
4599,16335.0,0.006121824,0.17141108,0.016285186636073645
2379,5289.0,0.0,0.22688599,0.05711361310133062
3167,8490.0,0.37691402,0.22379269,0.050866831777481435
1533,2720.0,0.110294126,0.22058825,0.00432166765528345
2755,7480.0,0.040106952,0.13368984,0.13862351335542988
2836,6463.0,0.015472691,0.21661767,0.0071025314150427975
3535,9999.0,0.22002201,0.29002902,0.17122969837587
2064,3642.0,0.21965954,0.41186163,0.036429585238921314
1858,3870.0,0.025839793,0.33591732,0.01679199411997512
3993,11494.0,0.008700191,0.24360538,0.025166787766695294
