gene_identifier,symbol,log2FoldChange,lfcSE,pvalue,padj,baseMean
ENSMUSG00000001260,Gabrg1,2.273363153369734,0.12437730699304383,1.2398247770664217e-74,2.3586426558911606e-70,138.24521263891626
ENSMUSG00000009075,Cabp7,-2.636761668179466,0.15365813422618615,5.29843341807457e-66,5.039869867272531e-62,13.948819545473118
ENSMUSG00000029659,Medag,-4.043802993067221,0.23746212602338962,4.983499689592688e-65,3.1602032698270434e-61,25.171494875610378
ENSMUSG00000021803,Cdhr1,-1.9622004891889842,0.11540874730340396,7.911972909105296e-65,3.762934315570479e-61,48.77601782644711
ENSMUSG00000035357,Pdzrn3,1.6465174776496516,0.09936280906718704,1.1337954626772797e-61,4.313864976394514e-58,600.601223001094
ENSMUSG00000043969,Emx2,3.150323216888949,0.19644161976777136,7.05413896495867e-58,2.2366323278228953e-54,26.87444463333428
ENSMUSG00000026278,Bok,-0.8928116623854315,0.056543966111517394,3.663794859201918e-56,9.957147628779612e-53,217.46062807897678
ENSMUSG00000022269,March11,1.1396363800190688,0.07333045091524781,1.8279849083424552e-54,4.3469481120383586e-51,119.26514133648959
ENSMUSG00000089706,B230216N24Rik,2.3077798066797794,0.1511756192129461,1.29718417804076e-52,2.741959089227491e-49,170.33746282513067
ENSMUSG00000100252,Mir124-2hg,0.7045262548935977,0.047182026946973515,2.0377876802412584e-50,3.8766872828909703e-47,394.8023850359783
ENSMUSG00000042596,Tfap2d,2.873170471235212,0.19810219353942174,1.1516645720750402e-47,1.9917515290141422e-44,110.60022059125622
ENSMUSG00000041552,Ptchd1,0.9653133260546827,0.07052705712029987,1.2119498198670566e-42,1.9213444477625737e-39,88.11104652644568
ENSMUSG00000040606,Kazn,-0.9583447754210758,0.07027123707586934,2.386661199764821e-42,3.492603281871227e-39,131.14045480300214
ENSMUSG00000008398,Elk3,-2.0940440735496035,0.15740049842297021,2.196358548280405e-40,2.984537501606173e-37,12.331748319004259
ENSMUSG00000017491,Rarb,-2.4506933244537707,0.18686735957396874,2.715606927595432e-39,3.4441137460383666e-36,39.19047255651027
ENSMUSG00000030137,Tuba8,-2.211371697796972,0.1689292642693516,3.7305136853071134e-39,4.435580771830158e-36,6.464846912979466
ENSMUSG00000027784,Ppm1l,0.7589394998080083,0.05817580062417573,6.730551681366259e-39,7.531883246253629e-36,914.4550567790608
ENSMUSG00000035258,Abi3bp,2.9226350500824725,0.2249946147399082,1.3979185900240108e-38,1.477444625367599e-35,884.4162257827917
ENSMUSG00000060424,Pantr1,2.306200239843423,0.1785305572945559,3.577764952791274e-38,3.5822842348369054e-35,249.2477447087489
ENSMUSG00000028883,Sema3a,1.8865180488637927,0.14770370998554158,2.3409244290348355e-37,2.2266873168979357e-34,189.83069488648746
ENSMUSG00000032020,Ubash3b,1.553441541697924,0.12229514853798713,5.734586806534533e-37,5.194989495595855e-34,164.4587083085123
ENSMUSG00000085845,Gm13944,-1.5865552468928543,0.12675085803225034,6.0182074278762496e-36,5.2041080958144445e-33,9.375145274502119
ENSMUSG00000052133,Sema5b,-1.055126045648366,0.0844941257322448,8.72822659554178e-36,7.219381858851601e-33,24.405004035023527
ENSMUSG00000053465,Hs6st3,1.029400190711192,0.08264054098617095,1.2913395604434682e-35,1.0236018249115224e-32,1271.0802042899581
ENSMUSG00000045515,Pou3f3,1.68477057248178,0.13570767969122674,2.174917505759562e-35,1.5934086572027264e-32,105.6694919811899
ENSMUSG00000028033,Kcnq5,-1.4217620324473461,0.11452337893994412,2.1777031690112954e-35,1.5934086572027264e-32,1627.932043087673
ENSMUSG00000086224,2700069I18Rik,2.006156445437013,0.1635831209814337,1.4163423967170711e-34,9.979443613016875e-32,21.08776053827121
ENSMUSG00000027776,Il12a,-1.6928920872403224,0.13850366834785538,2.350741760850891e-34,1.5971611163724054e-31,11.021058660607746
ENSMUSG00000003500,Impdh1,-1.1416511291880247,0.09357469803513406,3.092040645741167e-34,2.028378663606206e-31,43.37037815237453
ENSMUSG00000097079,Gm26604,2.464213968994409,0.20227559149091098,3.8548453690312034e-34,2.4444859433483203e-31,4.127797805865795
ENSMUSG00000035681,Kcnc2,-2.2510106893940742,0.18487721258374323,4.187520164730732e-34,2.5697865681883045e-31,136.00169751492686
ENSMUSG00000042942,Greb1l,-2.227314264905474,0.18304014229263416,4.577081531571068e-34,2.721074970519e-31,88.2917812128598
ENSMUSG00000085822,Gm15584,2.128506370908585,0.17506975804972946,5.1986611993241376e-34,2.996949413816436e-31,10.729214541952278
ENSMUSG00000009734,Pou6f2,1.3172165458712906,0.10917923494023521,1.62219514107213e-33,9.07665893051653e-31,25.285181104925112
ENSMUSG00000019970,Sgk1,1.4032060000903206,0.11640734525720778,1.8414858886096454e-33,1.0009265012831398e-30,339.25317753424736
ENSMUSG00000037348,Paqr7,-1.0103098761995823,0.08447918645051243,5.8066223582848274e-33,3.0684773262225154e-30,48.59405867134189
ENSMUSG00000039943,Plcb4,-1.6247203437847408,0.13630594365583437,9.349060312765339e-33,4.8069330645958866e-30,22.719130530977207
ENSMUSG00000024256,Adcyap1,3.0480729109099696,0.25820402637267775,3.682250900813377e-32,1.8434510825545706e-29,216.05524150283162
ENSMUSG00000024043,Arhgap28,2.743557404113427,0.2348832123656258,1.603170611504223e-31,7.820184029040087e-29,3.8028354798257005
ENSMUSG00000050730,Arhgap42,1.8136036527709276,0.1559760095762902,2.988843409576687e-31,1.4214939255946723e-28,37.15785784742609
ENSMUSG00000039717,Ralyl,-0.470610312911485,0.040953538247540645,1.458617419834796e-30,6.767984828033453e-28,1545.0590503586773
ENSMUSG00000006403,Adamts4,-2.13075918993931,0.18560422738506496,1.6604589439751654e-30,7.521088321472273e-28,4.489891698236455
ENSMUSG00000007888,Crlf1,-1.5123840508037174,0.13239914568996186,3.212778251788713e-30,1.4213928712099647e-27,20.2110280716216
ENSMUSG00000089887,4930428N03Rik,2.513339190296861,0.2203642134402185,3.9302439023995146e-30,1.6992945454374628e-27,6.80283468206473
ENSMUSG00000029217,Tec,3.3208907980400184,0.29188207359703644,5.412390378267185e-30,2.288118101247887e-27,3.4543976284864444
ENSMUSG00000052581,Lrrtm4,0.7723494212937528,0.0684034874017824,1.4523676970383873e-29,6.006487623577887e-27,7026.128332731132
ENSMUSG00000060548,Tnfrsf19,1.0145408162490628,0.08993766647501382,1.6383359216028085e-29,6.631426079270602e-27,53.07123610717274
ENSMUSG00000022438,Parvb,-1.40537472318396,0.1248928599141241,2.247554174129415e-29,8.907806376799581e-27,33.47815035367437
ENSMUSG00000052387,Trpm3,-1.7513682769268477,0.15628416738448947,3.7970972583171656e-29,1.474203637596444e-26,656.9031133767355
ENSMUSG00000005148,Klf5,1.458074965275203,0.13015426904145577,3.956392152403439e-29,1.5053280861464604e-26,69.4180093379797
ENSMUSG00000057531,Dtnbp1,0.8463319500884879,0.07574968730176239,5.544052092404214e-29,2.0680401373705444e-26,214.53840781178988
ENSMUSG00000062939,Stat4,2.589610573004125,0.23249069509905768,8.14291014913904e-29,2.979052359177329e-26,10.82395399689878
ENSMUSG00000027859,Ngf,2.032326907006794,0.18308002475144516,1.2438554121107817e-28,4.4647368603765116e-26,16.06084034214458
ENSMUSG00000050379,Sept6,0.9848567431264784,0.08889601072816496,1.5907662032217856e-28,5.604210416683564e-26,110.69851030833892
ENSMUSG00000066189,Cacng3,0.9986239872177152,0.09049352327252017,2.5816271376778263e-28,8.929613575851448e-26,449.1219996861126
ENSMUSG00000003824,Syce2,-1.3140998961840424,0.11929045668604911,3.2007612094120175e-28,1.087344307997397e-25,9.203790816717769
ENSMUSG00000035215,Lsm7,0.49687539793408975,0.045118169514241975,3.3169852176646174e-28,1.1070583645763452e-25,351.5926453790924
ENSMUSG00000058135,Gstm1,-1.4300299809931056,0.12987814565665035,3.3991743923153823e-28,1.1149292006794453e-25,16.219449789221947
ENSMUSG00000021556,Golm1,-1.7662199089874182,0.16111685228382822,5.797175803594346e-28,1.8692452963996415e-25,13.927043833975347
ENSMUSG00000087095,Emx2os,2.5258382190955615,0.23095500108708755,7.712415706847623e-28,2.44534994011782e-25,20.722346601291424
ENSMUSG00000054932,Afp,3.3291410289668093,0.30447571426123365,7.92649053684866e-28,2.4720255077542446e-25,4.457963643940219
ENSMUSG00000031557,Plekha2,-2.2478094219886655,0.20637014800812564,1.2567332245807683e-27,3.856144010391054e-25,124.185612758977
ENSMUSG00000032625,Thsd7a,2.1501996728507784,0.1974880895356494,1.3186702045669347e-27,3.9819653923303757e-25,106.87225900483661
ENSMUSG00000042581,Thsd7b,-1.8264886114067378,0.16826698636490497,1.89416029993251e-27,5.630391491549386e-25,71.07605101936977
ENSMUSG00000037940,Inpp4b,-1.8783325280841991,0.1731644175157777,2.0584321359530718e-27,6.024555839134036e-25,344.2988658558109
ENSMUSG00000031309,Rps6ka3,0.5055315784194828,0.04726118178126076,1.0563880584304506e-26,3.044958549027408e-24,404.471594033023
ENSMUSG00000072568,Lratd2,1.7355494330276464,0.16285934215251036,1.6218551222355233e-26,4.6051002754341185e-24,8.100696998428555
ENSMUSG00000028004,Npy2r,2.7042444476027687,0.2545597060557748,2.3239666962534566e-26,6.501638592577317e-24,23.775424909759785
ENSMUSG00000020902,Ntn1,-2.760088165817255,0.26026691630840426,2.82957632725004e-26,7.801428992696343e-24,1.5576402220445649
ENSMUSG00000027419,Pcsk2,-1.399939481917572,0.1320625569090876,2.9614310366435743e-26,8.048323434443908e-24,1304.9857276970824
ENSMUSG00000041468,Gpr12,-1.2283596252488813,0.1162364000871038,4.203682820741204e-26,1.1107064164136203e-23,26.47325155411483
