gene_identifier,symbol,log2FoldChange,lfcSE,pvalue,padj,baseMean
ENSMUSG00000025815,Dhtkd1,-0.32030389365304596,0.11691113968724041,0.00614913759673206,0.02652033408302669,14.051923960867953
ENSMUSG00000058709,Egln2,0.1452959315796617,0.05304370769921444,0.0061593813061024336,0.02655849273964023,213.7752286918941
ENSMUSG00000022754,Tmem45a,1.5042981090320893,0.5492227713131601,0.006163424464129253,0.02656990414810671,0.4265805453326513
ENSMUSG00000024539,Ptpn2,0.16469380634012715,0.0601338798555993,0.006166656696321811,0.026577815358139134,76.30879168020682
ENSMUSG00000026683,Nuf2,-0.874126216186329,0.31929139360227804,0.006186920972241005,0.026659113154227154,0.6282840084300416
ENSMUSG00000032527,Pccb,-0.24662787592167773,0.09010467563122379,0.006197849591951499,0.0267001563943128,42.20039458071819
ENSMUSG00000034112,Atp2c2,-0.9735217225574769,0.35579255655301895,0.006215210765660806,0.02676888603258573,0.6112019002611928
ENSMUSG00000022299,Slc25a32,-0.19492188656622225,0.07125902398570597,0.006230464048053371,0.026828507933491928,68.09427301767259
ENSMUSG00000034854,Mfsd12,-0.19475707305194614,0.0712022681797724,0.006233007176646749,0.02683338504832038,52.83192676281969
ENSMUSG00000015942,Gtf2ird2,0.21277488094741212,0.07780558175143858,0.0062437258051590925,0.026873447899852167,36.222446878125744
ENSMUSG00000040242,Fgfr1op2,-0.1761994974512197,0.0644352816560233,0.006247150314512451,0.02688210531175862,313.21220070781055
ENSMUSG00000115317,Gm32618,-0.5920790403587098,0.21653217536565456,0.006249980821180518,0.026888203333816866,20.874953758957012
ENSMUSG00000025586,Cpeb1,-0.2544913960996529,0.09308173648489391,0.00625579422393094,0.02690712849108347,145.94280399989242
ENSMUSG00000038301,Snx10,-0.18606995541230398,0.0680589985635763,0.006257938927770855,0.026910269023940496,464.5037871677526
ENSMUSG00000000901,Mmp11,0.7476169086621927,0.2735183256709952,0.006269673953858642,0.02695240523837007,1.3215518745969757
ENSMUSG00000099644,Gm28626,-1.2832276041901542,0.4694815126562706,0.006270571151441648,0.02695240523837007,0.26377739391517224
ENSMUSG00000031751,Amfr,-0.13215329221375263,0.04835320407758731,0.006274462832868553,0.026963040644339593,211.77224797420712
ENSMUSG00000046791,Riox1,0.262544207137686,0.09606964555559665,0.006278837217664338,0.026974280920727522,28.382647494682864
ENSMUSG00000104807,Gm42865,1.0897820412289652,0.3987790860807949,0.006279914329158021,0.026974280920727522,3.6292707360458785
ENSMUSG00000031840,Rab3a,0.23120273089774424,0.08462250454509418,0.006291942805565571,0.027019846486022445,1091.511759412382
ENSMUSG00000020175,Rab36,-0.4509791199934801,0.16517162311168526,0.006326388810749197,0.02716163862236351,114.02587895058517
ENSMUSG00000096856,Gm10778,0.517322890723471,0.1895502265880798,0.0063485735959477214,0.027250736482244912,3.5144706297057744
ENSMUSG00000102142,Gm26930,0.8884452567578878,0.3255846970030888,0.006357131945215814,0.027281316969498228,0.7791916838438849
ENSMUSG00000100600,A230077H06Rik,0.27135371910451234,0.09947927357397779,0.00637696056730002,0.02736023857291736,44.43540679019177
ENSMUSG00000071856,Mcc,-1.7606583254127195,0.6455571238014499,0.0063845846590955095,0.027386773067560988,33.54794005741478
ENSMUSG00000024084,Qpct,0.976402957114764,0.3580441706734369,0.006390411146953084,0.027405586487744698,1.7842147732496614
ENSMUSG00000035528,Npffr2,-1.4857569163073803,0.544874445056645,0.006395417901445612,0.027420876753910597,0.5079814877936574
ENSMUSG00000008035,Mid1ip1,0.3448089742280307,0.12649323127046974,0.006412477217140668,0.027487824826246975,29.528650767837327
ENSMUSG00000024981,Acsl5,0.19993964245021895,0.07335314772038153,0.00641627249745386,0.02749789772281195,97.9938198187768
ENSMUSG00000028821,Syf2,0.2936154920653431,0.10774208246699775,0.006426838443105696,0.02753077562297743,86.34728776048014
ENSMUSG00000037905,Bri3bp,0.12893578305719516,0.0473117352844338,0.006425496879172344,0.02753077562297743,251.88109350633917
ENSMUSG00000020171,Yeats4,0.16139794962419945,0.059228819378225335,0.006430340468784152,0.02753957610944388,121.48758812300298
ENSMUSG00000045975,C2cd2,0.34013671432422166,0.12482514351469735,0.006431990269383908,0.027540441792653494,55.02505233395103
ENSMUSG00000029715,Pop7,0.2830848241471882,0.10389201082856762,0.006434068658015072,0.02754314179794751,72.53984667208593
ENSMUSG00000026586,Prrx1,-1.1014689461948672,0.4042990891506951,0.006442011999029802,0.027570941792923045,0.8500892585453699
ENSMUSG00000048332,Lhfp,0.7107731324161202,0.2609249673853947,0.006448638743233748,0.02759309569304517,198.43663608130637
ENSMUSG00000091061,4930445B16Rik,0.7367201052768194,0.27048323921397466,0.006455157066534248,0.02761477581150158,2.354063947915088
ENSMUSG00000024042,Sik1,1.0213026090278041,0.3750017888683294,0.0064601914426106535,0.027630099371453477,28.05677578434294
ENSMUSG00000086228,Ubap1l,-0.5634110988217172,0.20689341644556858,0.006465390092457985,0.027646118480314834,3.8007212001734176
ENSMUSG00000001870,Ltbp1,-1.076763943331239,0.3955611125413305,0.006486501699708194,0.027723929080037898,56.467563068628564
ENSMUSG00000040857,Erf,0.2313429439254923,0.08498450011160341,0.006485318329845485,0.027723929080037898,115.50722872237222
ENSMUSG00000005124,Ccn4,0.6224905533525811,0.22869247848101026,0.006489704916511019,0.027731389562377726,2.8015308641790364
ENSMUSG00000027782,Kpna4,-0.18112111057272914,0.06654999854139693,0.006497075908125051,0.027756652161727142,210.83286776661348
ENSMUSG00000048429,Timm29,-0.27075228895394277,0.09950997822817224,0.0065113182836431345,0.027811252588241353,95.13321842794896
ENSMUSG00000030431,Tmem238,0.5017182504628428,0.1844322217477835,0.006521493006861402,0.027848458577448103,10.234994579378414
ENSMUSG00000025551,Fgf14,-0.2339092649115294,0.08600488880100489,0.006533710386275131,0.02789436857910639,2823.826089164751
ENSMUSG00000029782,Tmem209,-0.4591341724730936,0.16883586020392263,0.006539820147040154,0.02791418857466724,34.24530465523385
ENSMUSG00000102124,Gm29296,0.9560652486304246,0.35164604906417557,0.0065513595269359945,0.02795716995074705,1.351008013420824
ENSMUSG00000050428,Fbxo46,0.23819770568498447,0.08762642084892387,0.00656119618228007,0.027987615624627458,28.680683823915462
ENSMUSG00000060601,Nr1h2,0.36045800297043035,0.1326032310197108,0.006561436379617244,0.027987615624627458,50.462443612010496
