Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,direction
Reactome_2022,MAPK1/MAPK3 Signaling R-HSA-5684996,14/277,0.7533301059225964,0.999996057984298,0,0,0.8534118744130762,0.2417304150625655,KL;SPTBN5;ITGA2B;TGFA;GFRA2;RASGRP1;RASGRP3;BTC;FGF16;RASA4;KIT;FGF18;FGF10;FGFR1,anterior_up
Reactome_2022,MyD88-independent TLR4 Cascade R-HSA-166166,5/107,0.7585514181962677,0.999996057984298,0,0,0.7865819849790816,0.2173677572960537,JUN;ALPK1;S100B;NFKB1;BIRC3,anterior_up
Reactome_2022,Developmental Biology R-HSA-1266738,58/1073,0.7611505826417215,0.999996057984298,0,0,0.9137214670428316,0.249376577978284,EPHB6;SEMA5A;ROBO3;ITGA2B;HNF4G;LDB2;PCSK6;ROBO1;ALCAM;SALL4;SCN5A;EPHB2;EPHA7;TRPC5;ADGRV1;TRPC6;TRPC3;EPHA8;KRT1;EBF1;HNF1B;KRT77;POU3F1;GFRA2;RGMA;VAV2;PKP2;RARB;PPARG;DSG2;PPARA;ZFPM2;SCN4B;CEBPA;SPTBN5;LAMA2;CEBPD;LPL;SEMA3E;NTN1;EVPL;FOXO1;RELN;ACVR1C;ABLIM3;MYH14;SEMA4A;TCF7L2;JUN;LAMB1;NFKB1;BMP4;EFNA1;CXCL12;LHX2;INSM1;FGF10;FGFR1,anterior_up
Reactome_2022,Protein-protein Interactions At Synapses R-HSA-6794362,4/88,0.7654582014612098,0.999996057984298,0,0,0.764187866927593,0.2042526437790088,LRRTM3;EPB41;SYT10;PDLIM5,anterior_up
Reactome_2022,DARPP-32 Events R-HSA-180024,1/24,0.765464198617666,0.999996057984298,0,0,0.698214086808005,0.1866136574426713,PPP1R1B,anterior_up
Reactome_2022,Growth Hormone Receptor Signaling R-HSA-982772,1/24,0.765464198617666,0.999996057984298,0,0,0.698214086808005,0.1866136574426713,PRLR,anterior_up
Reactome_2022,Impaired BRCA2 Binding To PALB2 R-HSA-9709603,1/24,0.765464198617666,0.999996057984298,0,0,0.698214086808005,0.1866136574426713,RAD51B,anterior_up
Reactome_2022,Interleukin-6 Family Signaling R-HSA-6783589,1/24,0.765464198617666,0.999996057984298,0,0,0.698214086808005,0.1866136574426713,CRLF1,anterior_up
Reactome_2022,Sema4D In Semaphorin Signaling R-HSA-400685,1/24,0.765464198617666,0.999996057984298,0,0,0.698214086808005,0.1866136574426713,MYH14,anterior_up
Reactome_2022,Signaling By ERBB2 KD Mutants R-HSA-9664565,1/24,0.765464198617666,0.999996057984298,0,0,0.698214086808005,0.1866136574426713,BTC,anterior_up
Reactome_2022,Signaling By Erythropoietin R-HSA-9006335,1/24,0.765464198617666,0.999996057984298,0,0,0.698214086808005,0.1866136574426713,EPOR,anterior_up
Reactome_2022,Thromboxane Signaling Thru TP Receptor R-HSA-428930,1/24,0.765464198617666,0.999996057984298,0,0,0.698214086808005,0.1866136574426713,GNG12,anterior_up
Reactome_2022,MAPK Family Signaling Cascades R-HSA-5683057,16/318,0.7702675781404975,0.999996057984298,0,0,0.8490570361374,0.2216185924575175,KL;SPTBN5;JUN;ITGA2B;TGFA;GFRA2;RASGRP1;FOXO1;RASGRP3;BTC;FGF16;RASA4;KIT;FGF18;FGF10;FGFR1,anterior_up
