gene_identifier,symbol,log2FoldChange,lfcSE,pvalue,padj,baseMean
ENSMUSG00000046574,Prr12,-0.14590304488636396,0.06213310175891676,0.018862680869653117,0.052713140020635096,165.1401862568846
ENSMUSG00000022229,Atp12a,-1.0416869134628617,0.443700724922209,0.018888503533628132,0.05276483885762606,0.9094901704908784
ENSMUSG00000027649,Ctnnbl1,0.17803637784310886,0.07583338765581338,0.018888168397518088,0.05276483885762606,144.9584095312361
ENSMUSG00000038552,Fndc4,0.19641828908207948,0.08366399769863182,0.018889533868608716,0.05276483885762606,426.4820806009144
ENSMUSG00000097180,2700038G22Rik,0.3932716845351276,0.16753756774136822,0.018906765112371698,0.052805187749365316,18.07592699066833
ENSMUSG00000021840,Mapk1ip1l,-0.15501362963480336,0.06604528071460254,0.01892113622303599,0.05283753778758209,247.46978367812778
ENSMUSG00000070570,Slc17a7,-0.20489557584748191,0.0873004902969826,0.01892448381604167,0.052839099501103534,5619.081036642221
ENSMUSG00000027004,Frzb,-0.25315923166375365,0.1078691511989044,0.01892980684674991,0.052846175566574956,157.30102558428666
ENSMUSG00000112639,A730063M14Rik,0.30689770221934937,0.1307802765055378,0.018942197595938175,0.05287297752880076,17.291440721685966
ENSMUSG00000031016,Wee1,-0.24861915426975828,0.10595349476571948,0.018951012354195457,0.05288979147452193,59.991170468958416
ENSMUSG00000032103,Pus3,0.22014836019187237,0.09382923692825541,0.018962562616094827,0.05290644310585939,47.408488384705144
ENSMUSG00000066043,Phactr4,0.6766009039521277,0.28836791510908777,0.018960263146330394,0.05290644310585939,6.04247964651716
ENSMUSG00000068329,Htra2,0.20877828351875208,0.08899201791293186,0.018974385805261704,0.05292397534151864,111.5645325706732
ENSMUSG00000034000,Neu4,-1.2023879646341187,0.5125196498818779,0.01897443210924948,0.05292397534151864,0.650064680748633
ENSMUSG00000032264,Zw10,-0.21738422076718658,0.09266663538407512,0.018982539780826917,0.0529387974755953,47.32993200047612
ENSMUSG00000034998,Foxn2,0.23396882186482482,0.09974512035775891,0.018993075764413222,0.05296038636486618,121.25332191628343
ENSMUSG00000063049,Ing2,-0.1341128360313217,0.057178861860716065,0.01900174303053952,0.05297675892728026,307.48450364004367
ENSMUSG00000021965,Ska3,-0.528559946385958,0.22537836993979593,0.019016288717093016,0.05300951326697744,3.327779991926892
ENSMUSG00000057440,Mpp7,-0.2603278817048005,0.11101595137514349,0.01902915941946746,0.05303622395386763,54.17793965208696
ENSMUSG00000038510,Rpf2,0.23031946208072562,0.09822085628772732,0.01903146822618997,0.05303622395386763,81.23507473525387
ENSMUSG00000087202,Gm15813,0.9564479407804474,0.40792720181554604,0.01904476943461463,0.05306548754388284,8.314945399246618
ENSMUSG00000027365,Trpm7,-0.11461509309944697,0.04890022860895015,0.019085539666566682,0.05317126972676252,313.28526503047135
ENSMUSG00000020903,Stx8,0.26873238408342776,0.11467539914336142,0.019107966664153347,0.05322592507507069,233.60140190780893
ENSMUSG00000000416,Cttnbp2,0.20697045629777838,0.08832849666555834,0.019119640041469193,0.053250614166055435,2693.8682950416014
ENSMUSG00000022864,D16Ertd472e,-0.8966092981753474,0.38275091859417776,0.019152985988349785,0.05333564797637449,15.672162882398199
ENSMUSG00000031517,Gpm6a,0.10707066580211536,0.045724858567591356,0.019199777301624303,0.0534580928395211,6976.065418718679
ENSMUSG00000026887,Mrrf,-0.20476443421288262,0.08748797171213998,0.019258624335358323,0.05361406363376527,82.12555170256627
ENSMUSG00000021244,Ylpm1,-0.10583790384274439,0.045223048367662805,0.01926551301289115,0.053625363042639144,609.8043769462485
ENSMUSG00000113029,Gm40578,0.433224606425863,0.18521836855731189,0.01933575696054835,0.05381298199477033,4.701039796966336
ENSMUSG00000050350,Gpr18,0.4149826935980418,0.17742636900579434,0.01934056307700525,0.053818453789904484,7.40649300451422
ENSMUSG00000000787,Ddx3x,0.11535208073310978,0.049320223097692,0.019343747036525326,0.053819410709463354,863.8083298159829
ENSMUSG00000031563,Wwc2,0.19668410045898455,0.08409685827588521,0.019346791373504264,0.05381997893833027,212.76696814808832
ENSMUSG00000074671,Tspyl3,-0.1923547151680247,0.08224791110006052,0.019350004613278102,0.0538210167946015,100.03475234944915
ENSMUSG00000116557,4933432I09Rik,-0.41204655551052444,0.176205797726899,0.019364473038094163,0.05385335545522225,8.93729639751902
ENSMUSG00000001435,Col18a1,-0.5842215143389701,0.2498454695632589,0.01937006174280348,0.05386099340075215,10.863765430591656
ENSMUSG00000029726,Mepce,-0.1689518799285701,0.07225758959053839,0.019377461113012428,0.053865760318554425,77.16549938446776
ENSMUSG00000096257,Ccer2,-0.789672436237687,0.33772453073050435,0.019376117323384925,0.053865760318554425,1.2677740572319092
ENSMUSG00000029338,Antxr2,-1.107392311112615,0.47364003307085417,0.019384848173472632,0.05387839144724353,12.673529068399281
ENSMUSG00000031111,Igsf1,-1.434651397395422,0.613654950667057,0.01939349422980226,0.05389451762058261,4.139149255839714
ENSMUSG00000013921,Clip3,0.07458292369388568,0.031903017420664724,0.01939754498503861,0.05389787059625831,1894.9854076227423
ENSMUSG00000113618,Gm48166,-0.7398744176216407,0.3165228294012582,0.01941282291142628,0.05392450808729522,1.5827246225625746
ENSMUSG00000087249,Gm16062,0.3302895858840848,0.14129797635330527,0.019411155117369683,0.05392450808729522,36.659894335106415
ENSMUSG00000035864,Syt1,-0.13041410746254922,0.0557986842354506,0.01942746210986175,0.05395067223856319,13220.765689770858
ENSMUSG00000093383,Gm20642,0.2195830091087074,0.09395065480579175,0.019427936008229826,0.05395067223856319,513.6258901057406
ENSMUSG00000031299,Pdha1,0.12422380498751284,0.053155353292422554,0.019439434166935714,0.05397159772965861,643.9967239722042
ENSMUSG00000022235,Cmbl,-0.454212910302965,0.19436042972338707,0.01944116760436146,0.05397159772965861,3.849922491242161
ENSMUSG00000027185,Nat10,-0.2052869280338069,0.08784663787724295,0.019445497432468057,0.053975710611581906,50.68275634151671
ENSMUSG00000097673,Gm26608,-0.6737336365395514,0.28840141171856104,0.019486193169212532,0.054080749935058216,1.5537009224466225
ENSMUSG00000028556,Dock7,-0.2717817390733128,0.11642685885781315,0.019577087561222582,0.05430915082494041,292.51111749597544
ENSMUSG00000072572,Slc39a2,-0.22436978578609898,0.09611574509986658,0.019576316027592303,0.05430915082494041,44.28479751427302
